Wall time,Step,Value
1600242086.254905,0,0.0
1600242201.9565222,1,0.0
1600242320.8050547,2,0.0
1600242440.5997944,3,0.0
1600242561.5721269,4,0.0
1600242682.0415354,5,0.0
1600242799.9078655,6,0.0
1600242921.111557,7,0.0
1600243043.7044039,8,0.0
1600243161.4511156,9,0.0
1600243280.9755223,10,0.0
1600243399.8269472,11,0.0
1600243517.46367,12,0.0
1600243636.7855551,13,0.0
1600243754.0695117,14,0.0
1600243878.6480358,15,0.0
1600244000.4477463,16,0.0
1600244117.2827468,17,0.0
1600244237.5449982,18,0.0
1600244364.6704583,19,0.0
1600244483.8602104,20,0.0
1600244605.212588,21,0.0
1600244726.418541,22,0.0
1600244846.8826628,23,0.0
1600244969.6735816,24,0.0
1600245090.5488331,25,0.0
1600245213.4322102,26,0.0
1600245334.5309446,27,0.0
1600245457.3263135,28,0.0
1600245578.0149345,29,0.0
1600245697.644952,30,0.0
1600245814.950367,31,0.0
1600245937.273019,32,0.0
1600246055.596135,33,0.0
1600246170.798528,34,0.0
1600246286.450897,35,0.0
1600246405.908937,36,0.0
1600246527.1197786,37,0.0
1600246648.2517972,38,0.0
1600246770.835271,39,0.0
1600246893.4766347,40,0.0
1600247010.3879468,41,0.0
1600247125.7225394,42,0.0
1600247249.6775165,43,0.0
1600247370.6198213,44,0.0
1600247490.053446,45,0.0
1600247608.4451268,46,0.0
1600247728.4700089,47,0.0
1600247849.1473675,48,0.0
1600247965.3857913,49,0.0
1600248084.0986826,50,0.0
1600248206.3527987,51,0.0
1600248331.5892408,52,0.0
1600248452.7292397,53,0.0
1600248531.115502,54,0.40234375
1600248654.169952,55,0.0
1600248775.0575671,56,0.0
1600248898.7311456,57,0.0
1600249020.5435073,58,0.0
1600249137.0640256,59,0.0
1600249260.8974345,60,0.0
1600249382.102837,61,0.0
1600249507.442381,62,0.0
1600249627.2623992,63,0.0
1600249747.9925604,64,0.0
1600249865.0208678,65,0.0
1600249986.8311589,66,0.0
1600250108.649507,67,0.0
1600250225.899459,68,0.0
1600250351.7388325,69,0.0
1600250470.9095309,70,0.0
1600250593.621296,71,0.0
1600250715.0545392,72,0.0
1600250838.1702616,73,0.0
1600250960.2302325,74,0.0
1600251078.5847125,75,0.0
1600251195.245131,76,0.0
1600251317.9813423,77,0.0
1600251437.6020463,78,0.0
1600251558.6351643,79,0.0
1600251681.7913938,80,0.0
1600251803.708849,81,0.0
1600251925.037774,82,0.0
1600252044.0629053,83,0.0
1600252165.6407819,84,0.0
1600252290.000576,85,0.0
1600252411.7908273,86,0.0
1600252532.2940383,87,0.0
1600252656.5431027,88,0.0
1600252774.1333084,89,0.0
1600252894.445832,90,0.0
1600253014.0555265,91,0.0
1600253135.174071,92,0.0
1600253257.832583,93,0.0
1600253375.4557016,94,0.0
1600253492.4982202,95,0.0
1600253612.5697792,96,0.0
1600253733.3224862,97,0.0
1600253853.8484323,98,0.0
1600253975.409483,99,0.0
1600254096.2711282,100,0.0
1600254218.0662596,101,0.0
1600254339.0570877,102,0.0
1600254461.339412,103,0.0
1600254582.6711078,104,0.0
1600254702.2980447,105,0.0
1600254822.5044026,106,0.0
1600254945.5621612,107,0.0
1600255067.4399111,108,0.0
1600255190.834648,109,0.0
1600255314.5267508,110,0.0
1600255435.0580714,111,0.0
1600255554.0709531,112,0.0
1600255675.1813653,113,0.0
1600255794.8197525,114,0.0
1600255912.1327384,115,0.0
1600256028.8846474,116,0.0
1600256153.398578,117,0.0
1600256275.6324,118,0.0
1600256398.5032637,119,0.0
1600256520.1232803,120,0.0
1600256643.1170537,121,0.0
1600256764.6371186,122,0.0
1600256889.2001598,123,0.0
1600257010.5816731,124,0.0
1600257131.0511,125,0.0
1600257257.2081122,126,0.0
1600257379.5530355,127,0.0
1600257499.9977107,128,0.0
1600257625.0213804,129,0.0
1600257748.1252568,130,0.0
1600257866.8585367,131,0.0
1600257984.2469757,132,0.0
1600258106.0576181,133,0.0
1600258231.6079519,134,0.0
1600258352.3801055,135,0.0
1600258477.5633934,136,0.0
1600258597.7310576,137,0.0
1600258722.7476175,138,0.0
1600258795.9385457,139,0.4375
1600258915.7871866,140,0.0
1600259037.3772705,141,0.0
1600259162.5131848,142,0.0
1600259286.552304,143,0.0
1600259406.8914766,144,0.0
1600259524.8614123,145,0.0
1600259647.7388754,146,0.0
