Wall time,Step,Value
1599912694.7305496,0,0.0
1599912872.6486182,1,0.0
1599913053.6984622,2,0.0
1599913241.4539416,3,0.0
1599913428.093872,4,0.0
1599913612.308303,5,0.0
1599913788.880737,6,0.0
1599913974.552121,7,0.0
1599914158.152699,8,0.0
1599914343.7144992,9,0.0
1599914523.7530448,10,0.0
1599914700.533627,11,0.0
1599914883.7246547,12,0.0
1599915062.2719285,13,0.0
1599915244.3939252,14,0.0
1599915427.7867086,15,0.0
1599915465.541778,16,0.8031250238418579
1599915649.3692567,17,0.0
1599915835.298949,18,0.0
1599916018.9403226,19,0.0
1599916201.6934466,20,0.0
1599916386.0590067,21,0.0
1599916575.2218049,22,0.0
1599916759.9168797,23,0.0
1599916940.6901543,24,0.0
1599917123.6762948,25,0.0
1599917306.0866427,26,0.0
1599917490.1092606,27,0.0
1599917672.3553748,28,0.0
1599917854.2117367,29,0.0
1599918033.417227,30,0.0
1599918218.57853,31,0.0
1599918398.3893464,32,0.0
1599918579.4563763,33,0.0
1599918763.2502823,34,0.0
1599918943.9720297,35,0.0
1599919129.3089154,36,0.0
1599919313.911708,37,0.0
1599919496.4512303,38,0.0
1599919677.5106895,39,0.0
1599919861.8538847,40,0.0
1599920045.013124,41,0.0
1599920229.9940093,42,0.0
1599920418.6109486,43,0.0
1599920603.6154554,44,0.0
1599920787.353261,45,0.0
1599920971.8738708,46,0.0
1599921154.7530642,47,0.0
1599921344.3018012,48,0.0
1599921531.4234283,49,0.0
1599921714.1609652,50,0.0
1599921894.3691275,51,0.0
1599922077.1668622,52,0.0
1599922263.3429458,53,0.0
1599922444.4240053,54,0.0
1599922626.760122,55,0.0
1599922811.142807,56,0.0
1599922992.137466,57,0.0
1599923177.6986742,58,0.0
1599923359.3274815,59,0.0
1599923544.326711,60,0.0
1599923720.536544,61,0.0
1599923901.458474,62,0.0
1599924086.2963293,63,0.0
1599924268.9148657,64,0.0
1599924454.1547294,65,0.0
1599924638.816737,66,0.0
1599924826.2867868,67,0.0
1599925008.364904,68,0.0
1599925189.4799747,69,0.0
1599925374.5113022,70,0.0
1599925556.8437583,71,0.0
