Wall time,Step,Value
1600002097.6287944,0,0.0
1600002297.3353996,1,0.0
1600002506.765006,2,0.0
1600002711.365314,3,0.0
1600002933.148527,4,0.0
1600003145.4072285,5,0.0
1600003356.9566905,6,0.0
1600003574.4741735,7,0.0
1600003785.774557,8,0.0
1600004000.3622746,9,0.0
1600004212.3500397,10,0.0
1600004426.2451231,11,0.0
1600004641.2496338,12,0.0
1600004848.5789137,13,0.0
1600005063.773831,14,0.0
1600005268.4738355,15,0.0
1600005483.9012573,16,0.0
1600005695.2277296,17,0.0
1600005905.214354,18,0.0
1600006120.8194432,19,0.0
1600006329.888425,20,0.0
1600006542.9667258,21,0.0
1600006754.2359293,22,0.0
1600006948.2816095,23,0.0
1600007071.1729872,24,0.419921875
1600007258.4684389,25,0.0
1600007452.7238958,26,0.0
1600007646.2800786,27,0.0
1600007833.9374182,28,0.0
1600008019.7246778,29,0.0
1600008208.2322352,30,0.0
1600008393.7945328,31,0.0
1600008582.332535,32,0.0
1600008774.392714,33,0.0
1600008962.3285353,34,0.0
1600009146.7561755,35,0.0
1600009335.0887122,36,0.0
1600009523.3061182,37,0.0
1600009718.2454622,38,0.0
1600009901.8992908,39,0.0
1600010089.0240989,40,0.0
1600010282.323529,41,0.0
1600010473.9610956,42,0.0
1600010664.1802175,43,0.0
1600010857.891421,44,0.0
1600011047.5681489,45,0.0
1600011234.3911738,46,0.0
1600011422.0385525,47,0.0
1600011607.115015,48,0.0
1600011652.8515155,49,0.7749999761581421
1600011842.4832404,50,0.0
1600011914.202449,51,0.637890636920929
1600012104.4648266,52,0.0
1600012289.2858584,53,0.0
1600012471.8084934,54,0.0
1600012666.5116124,55,0.0
1600012858.983034,56,0.0
1600013047.5613124,57,0.0
1600013234.0934558,58,0.0
1600013420.7779846,59,0.0
1600013606.8533473,60,0.0
1600013790.3594973,61,0.0
1600013975.8411448,62,0.0
1600014161.4150095,63,0.0
1600014351.176921,64,0.0
1600014542.3171442,65,0.0
1600014729.9396677,66,0.0
1600014923.36938,67,0.0
1600015107.1223428,68,0.0
1600015291.3375413,69,0.0
1600015487.08425,70,0.0
1600015669.1222606,71,0.0
1600015850.3606837,72,0.0
1600016035.1159008,73,0.0
1600016222.152338,74,0.0
1600016415.1151023,75,0.0
1600016598.5732336,76,0.0
1600016786.7490702,77,0.0
1600016973.138801,78,0.0
1600017159.9947274,79,0.0
1600017351.345698,80,0.0
1600017537.9903016,81,0.0
1600017722.894839,82,0.0
1600017905.5935025,83,0.0
1600018089.035105,84,0.0
1600018284.3754838,85,0.0
1600018470.2446704,86,0.0
1600018658.482304,87,0.0
1600018849.4660168,88,0.0
1600019033.9523456,89,0.0
1600019219.4747715,90,0.0
1600019407.855526,91,0.0
1600019593.1611297,92,0.0
1600019777.9252868,93,0.0
1600019966.2238467,94,0.0
1600020151.3249693,95,0.0
1600020339.3800406,96,0.0
1600020527.4744785,97,0.0
1600020720.9832227,98,0.0
1600020903.4157763,99,0.0
1600021097.5637836,100,0.0
1600021286.3348114,101,0.0
1600021471.197468,102,0.0
1600021659.1315467,103,0.0
1600021844.9132726,104,0.0
1600022034.7785273,105,0.0
1600022221.7797303,106,0.0
1600022405.0215724,107,0.0
1600022588.8324044,108,0.0
1600022779.1330783,109,0.0
1600022962.1471794,110,0.0
1600023141.4473794,111,0.0
1600023327.9308424,112,0.0
1600023515.9215705,113,0.0
1600023704.8871326,114,0.0
1600023891.6329598,115,0.0
1600024077.1057427,116,0.0
1600024260.2024198,117,0.0
1600024448.3127062,118,0.0
1600024645.3391383,119,0.0
1600024831.3786168,120,0.0
1600025019.587344,121,0.0
1600025207.7833126,122,0.0
1600025395.1289504,123,0.0
1600025582.2901638,124,0.0
1600025771.0114274,125,0.0
1600025959.9778335,126,0.0
1600026145.003938,127,0.0
1600026332.74632,128,0.0
1600026519.7865276,129,0.0
1600026709.5797942,130,0.0
1600026896.7562864,131,0.0
1600027087.3915925,132,0.0
1600027274.6883392,133,0.0
1600027460.120075,134,0.0
1600027643.8984442,135,0.0
1600027833.040093,136,0.0
1600028022.1291747,137,0.0
1600028212.588792,138,0.0
1600028402.941472,139,0.0
1600028591.748368,140,0.0
1600028783.1302557,141,0.0
1600028967.8221886,142,0.0
1600029156.475832,143,0.0
1600029343.537595,144,0.0
1600029526.7171817,145,0.0
1600029714.2334483,146,0.0
1600029901.602636,147,0.0
1600030086.9920456,148,0.0
1600030274.0538878,149,0.0
1600030460.6371768,150,0.0
1600030645.5202975,151,0.0
1600030838.4779544,152,0.0
1600031028.4968717,153,0.0
1600031215.1296759,154,0.0
1600031400.0113323,155,0.0
1600031582.9869237,156,0.0
1600031771.986658,157,0.0
1600031963.792268,158,0.0
1600032154.3867831,159,0.0
1600032341.3709166,160,0.0
1600032535.7075517,161,0.0
1600032724.5064228,162,0.0
1600032914.5082977,163,0.0
1600033103.6319852,164,0.0
1600033299.3911698,165,0.0
1600033487.523649,166,0.0
1600033673.6483183,167,0.0
1600033859.1955793,168,0.0
1600034050.7718687,169,0.0
1600034238.2538934,170,0.0
1600034423.3183472,171,0.0
1600034609.630291,172,0.0
1600034807.7503526,173,0.0
1600035017.5873094,174,0.0
1600035223.302828,175,0.0
1600035432.0983396,176,0.0
1600035638.259228,177,0.0
1600035843.0245757,178,0.0
1600036046.0281017,179,0.0
1600036247.6608763,180,0.0
1600036453.2893777,181,0.0
1600036659.4556303,182,0.0
1600036862.7743344,183,0.0
