Wall time,Step,Value
1601467385.1308289,0,0.0
1601467446.5107052,1,0.0
1601467471.589083,2,0.0
1601467525.6376057,3,0.0
1601467575.4608927,4,0.0
1601467655.2825234,5,0.0
1601467722.2888768,6,0.0
1601467780.3895802,7,0.0
1601467837.5507932,8,0.0
1601467931.8755052,9,0.0
1601467991.467082,10,0.0
1601468086.8797486,11,0.0
1601468180.850966,12,0.0
1601468212.7761335,13,0.0
1601468299.6739824,14,0.0
1601468393.0673454,15,0.0
1601468451.022389,16,0.0
1601468515.7758045,17,0.0
1601468595.1162844,18,0.0
1601468599.0906596,19,0.9639999866485596
1601468690.3911622,20,0.0
1601468768.1992686,21,0.0
1601468857.3928466,22,0.0
1601468922.7772114,23,0.0
1601469025.6895819,24,0.0
1601469108.3790448,25,0.0
1601469208.9417777,26,0.0
1601469309.8304765,27,0.0
1601469406.8427763,28,0.0
1601469428.4899101,29,0.7570000290870667
1601469506.1376197,30,0.0
1601469583.9097288,31,0.0
1601469679.8349538,32,0.24400000274181366
1601469732.7618957,33,0.0
1601469739.988578,34,0.0
1601469804.2953537,35,0.0
1601469872.9295316,36,0.0
1601469950.9913728,37,0.0
1601470029.0515456,38,0.0
1601470045.5454557,39,0.8650000095367432
1601470125.7938268,40,0.0
1601470218.6759539,41,0.0
1601470235.5678005,42,0.0
1601470295.4337738,43,0.0
1601470378.1502953,44,0.0
1601470420.1469588,45,0.0
1601470461.9958794,46,0.46000000834465027
1601470463.8539133,47,0.0
1601470503.2152038,48,0.0
1601470504.8528266,49,0.0
1601470618.4229286,50,0.0
1601470619.298589,51,0.0
1601470732.0587282,52,0.0
1601470813.497924,53,0.0
1601470883.6144962,54,0.0
1601470950.2453861,55,0.0
1601470978.832172,56,0.621999979019165
1601471008.5759022,57,0.6309999823570251
1601471085.5419474,58,0.0
1601471124.078936,59,0.5230000019073486
1601471191.5490544,60,0.0
1601471230.4341133,61,0.0
1601471325.5790834,62,0.0
1601471326.9803376,63,0.0
1601471400.6165016,64,0.1720000058412552
1601471401.3196232,65,0.0
1601471402.7647595,66,0.9819999933242798
1601471426.8579998,67,0.0
1601471466.8416266,68,0.4869999885559082
1601471523.8409736,69,0.0
1601471617.6612186,70,0.0
1601471689.1617386,71,0.0
1601471759.6124187,72,0.0
1601471884.6742337,73,0.0
1601471948.3144479,74,0.0
1601472009.248263,75,0.0
1601472085.8325465,76,0.0
1601472194.7777462,77,0.0
1601472273.4626033,78,0.0
1601472372.1868966,79,0.0
1601472451.9866161,80,0.0
1601472517.0248342,81,0.0
1601472624.342796,82,0.0
1601472717.9874756,83,0.0
1601472797.136029,84,0.0
1601472887.9061236,85,0.0
1601472980.2792034,86,0.0
1601473046.2867591,87,0.0
1601473050.34192,88,0.0
1601473110.5398045,89,0.1809999942779541
1601473195.8343,90,0.0
1601473240.250541,91,0.0
1601473305.95391,92,0.0
1601473370.3442724,93,0.0
1601473433.391496,94,0.0
1601473497.2458947,95,0.0
1601473594.787474,96,0.0
1601473658.4871988,97,0.0
1601473723.784092,98,0.0
1601473725.6670585,99,0.9729999899864197
1601473776.7465694,100,0.4779999852180481
1601473862.7911918,101,0.0
1601473925.9493632,102,0.0
1601474009.7239175,103,0.0
1601474111.528489,104,0.0
